doc_id,para_index,position,gold_label,text
train_00001,16,0.46,facts,"With regard to the termination of the services of the workmen and to what relief they were entitled, the Tribunal, after answering the questions against the Union and in favour of the Refinery, suggested the following steps in the interest of Industrial harmony: (i) Though the Union should have pressed their demand for abolition of the contract labour system in the Refinery to the Central Advisory"
train_00001,17,0.49,arguments_appellant,"(ii) Till the Central Advisory Board makes its recommendations and the action is taken, the management of the Refinery to ensure that the contract labour is paid at least the minimum of the pay scale of its regular employees performing the same or similar duties as the workmen of the contract labour and further that the workmen among the contract labour who have put in 5 years or more of work at t"
train_00001,19,0.54,reasoning,"Having suggested these, the Tribunal has clarified that these ameliorative steps, if taken by the Refinery, shall not be taken to mean that the contract labour has become the direct employees of the Refinery."
train_00001,20,0.57,facts,"Learned counsel for the appellant says that though the above suggestions, which have the colour of directions, are in accord with the decision of this Court in 13HEL workers Association, Hardwar and Others etc."
train_00001,22,0.63,arguments_appellant,The argument of the learned counsel has barely to be noted and 472 rejected.
train_00002,0,0,facts,"The Judgment of the Court was delivered by R.M. SAHAI, J."
train_00002,5,0.15,arguments_appellant,"It was urged that inclusion of sugar in the Schedule of the Act was arbitrary., primarily because it being a declared commodity of public importance under Entry 52 of List I of Schedule VII the State legislature was precluded from legislating on it."
train_00002,8,0.24,reasoning,"Such inclusion is found in 145 Maharashtra, Gujarat, West Bengal, Bihar etc."
train_00002,14,0.41,reasoning,"Fallacy of the submis sion is apparent as it was in complete disregard of defini tion of the word ""agricultural produce"" in the Act which includes all produce whether agricultural, horticultural, animal husbandry or otherwise as specified in the Schedule."
train_00002,18,0.53,reasoning,""" Nor switch over from indigenous method of producing anything to scientific or mechanical method changes its character."
train_00002,22,0.65,facts,Rice or dal produced in mills have been held to be agricultural produce in Ramesh Chandra vs
train_00002,24,0.71,facts,"I the word agricultural produce for purpose of agricultural marketing schemes is understood as, 'including any product of agriculture or horticulture and any article of food or drink wholly or partly manufactured or derived from any such product and fleeces (including all kinds of wool) and the skins of animals '."
train_00002,25,0.74,reasoning,In the same volume products covered by the provisions of EEC Treaty as to agriculture (classified according to the Brussels Nomenclature of 1965) are men tioned in paragraph 1845. Sugar is one of them.
train_00002,26,0.76,reasoning,146 Another legalistic challenge regarding inhibition of State to legislate on sugar or of repeated argument of occupied field was more attractive than of any substance.
train_00002,27,0.79,facts,Reliance on Article 246 of the Constitution was academic only.
train_00002,28,0.82,arguments_appellant,"As far back as 1956 Constitution Bench of this Court in Choudhary Tika Ram and others vs State of U.P., ; examined the matter in detail and held sugar legis lations to be within the scope of Entry 33 of concurrent list."
train_00002,34,1,judgement,For these reasons these petitions fail and are dismissed with costs. N.P.V. Petitions dismissed.
train_00003,23,0.14,facts,"As Shri Bhagwant Singh remained firm in his resolve not to yield to these pressures, it is alleged that the girl continued to be harassed and her parents in law made it plain to her that they regretted the marriage."
train_00003,24,0.15,facts,"The attitude and relations of her husband and his family towards her went from bad to worse, and the regard which ordinarily a bride in the house can expect to receive was replaced by a continuing scorn and contempt and ill will."
train_00003,26,0.16,reasoning,"Brought up in a home where the dowry system was regarded as an evil to be opposed, it can be presumed that she rebelled strongly against the attempts at extortion directed against her father."
train_00003,39,0.25,facts,His enquiries led him to believe that Gurinder Kaur had attempted to commit suicide.
train_00003,55,0.35,facts,He disputes the version of the police that the doctor 116 on duty at the hospital had said that Gurinder Kaur was unfit to make a statement and that it was not possible for the police to obtain her statement before her death.
train_00003,71,0.45,facts,It is stated in the counter affidavit that the investigating officer remained busy with the investigation of other cases and with matters concerning the maintenance of law and order.
train_00003,86,0.54,facts,"It appears from the entries in the police Case Diary that a Sub Inspector visited the place of occurrence on August 9, 1980 and seized a number of articles."
train_00003,87,0.55,facts,But it is conceded that he did not take into custody the blanket with which the fire is said to have been put out.
train_00003,88,0.55,reasoning,"On the next day, experts from the Central Forensic Science Laboratory visited the place and appear to."
train_00003,91,0.57,reasoning,"Curiously, although the minor was removed from the scene of occurrence and was examined for chance prints, no ""identifiable prints"" could be developed."
train_00003,97,0.61,reasoning,"The entry C. D. No. 1 dated August 9, 1980 in the Case Diary does not indicate that Ramu 's statement was recorded by the police on that day, although it shows that the statements of other persons were recorded."
train_00003,108,0.68,facts,"to 8.30 p.m. Shri Bhagwant Singh, his wife, his niece who was a. doctor and other members of his family had been talking to the girl."
train_00004,11,0.06,facts,"It ' was agreed between the partners that the 3rd defendant Abdul Shukoor Saheb should go out of the partnership taking with him one item of property in Vaniyambadi valued at Rs. 20,000/ while the suit tannery which was estimated as of the same value was to become the sole property of the 4th defendant who was described in the deed as ""the continuing partner""."
train_00004,20,0.1,arguments_respondent,"Broadly stated, the defence of the 1st defendant the only contesting defendant, the others either remaining ex parte or supporting the plaintiff, was that the sale in favour of the plaintiff was either a sham and nominal transaction or in fraud of creditors of whom he was one."
train_00004,31,0.16,arguments_respondent,"however, further went on to add ""It is further submitted that even if the sale deed is true, it, is in fraud of creditors including the plaintiff and not binding on them."" In paragraphs 3 the allegation was made that the plaintiff was the relative of defendants 2 to 5, that the plaintiff and the vendors were natives of the same place and that the sale deed was clandestinely brought into existence "
train_00004,67,0.35,facts,Both of them were conducting business in Madras and the plaintiff had also a business in Vizianagaram though it was in bidis and not in hides and skins.
train_00004,75,0.39,facts,"Then we come to 66 O. section 191 of 1949 in which the plaint was presented on April 4, 1949, for recovery of a sum of Rs. 1,385/and odd which was decreed with interest and costs on November 22, 1949."
train_00004,96,0.5,reasoning,It is in the light of this feature that we are not disposed to dismiss as irrelevant the circumstance that the document was registered at Madras. The next feature of the case to which.
train_00004,117,0.61,reasoning,This finding has not been set aside by the High Court.
train_00004,137,0.72,reasoning,"As part of the argument on this head was based on a comparison of the provisions of the section before and after the same was amended, we shall set out in parallel, columns section 53 (1) as it stood before it was."
train_00004,141,0.74,reasoning,"Where the effect of any transfer of immovable property is to defraud, defeat or delay any such person, and such transfer is made gratuitously or for a grossly inadequate con sideration, the transfer may be presumed to have been made with such intent as aforesaid."
train_00004,154,0.81,reasoning,"760 76 before doing so it is necessary to point out that this very argument was urged before the Full Bench referred to and after elaborate consideration, rejected by them, Now the argument as regards the inference to be drawn from the nature of the enquiry in the summary proceedings for investigating."
train_00004,160,0.84,reasoning,The argument would only establish that if the Court investigating claims under O. XXI.
train_00004,186,0.97,reasoning,The decisions on this point were however not uniform.
train_00005,1,0.03,facts,"Appeal by special leave from the judgment and decree dated April 1, 1963 of the Allahabad High Court in Sales tax Reference No. 391 of 1959."
train_00005,2,0.07,facts,"C.B.Agarwala and O.P. Rana, for the appellant."
train_00005,6,0.2,facts,"Against the answer recorded by the High Court, the Commissioner of Sales Tax, U.P., has appealed to this Court with special leave."
train_00005,7,0.23,facts,"The respondent is a medical practitioner and in the performance of his professional duties he examines patients, advises them and prescribes medicines which are issued from his dispensary."
train_00005,9,0.3,reasoning,The order was confirmed in appeal by the Judge (Appeals) and was further confirmed by the Judge (Revisions) Sales Tax.
train_00005,11,0.37,reasoning,"Section 3 of the U.P. Sales Tax Act, 1948, makes every dealer liable to pay in each assessment year a tax at a certain rate on the turnover."
train_00005,18,0.6,reasoning,The tax levied in respect of the excepted categories is a single point tax: it may be levied when medicines and pharmaceutical preparations manufactured in the State of Uttar Pradesh are sold by the manufacturer.
train_00005,19,0.63,reasoning,"In our judgment when, as prescribed by a medical practitioner, a mixture of different drugs is prepared by the medical practitioner or by his employees specially for the use of a patient in the treatment of an ailment or discomfort diagnosed by the medical practitioner by his professional skill, and which mixture is normally incapable of being passed from hand to hand as a commercial commodity, th"
train_00005,21,0.7,facts,"(a) if the importer of medicines and pharmaceutical preparations manufactured outside the State sells them, and under cl."
train_00005,22,0.73,facts,(b) if the manufacturer of medicines and pharmaceutical preparations manufactured in Uttar Pradesh sells them.
train_00005,27,0.9,facts,"In the absence of clearer phraseology, the Court would not in a taxing provision be willing to give that interpretation."
train_00005,28,0.93,judgement,The appeal therefore fails and is dismissed.
train_00006,10,0.1,arguments_appellant,"366 We shall have occasion to refer to the report of the Tandon Committee later in this judgment, for much reliance has been placed by the petitioners on the report."
train_00006,12,0.12,arguments_appellant,"In this connection, we may refer to a letter dated July 28, 1979 of the Central Government whereby it advised HPCL that the pay scales and perquisites of management and employees in the nationalised oil companies should be ratio nalised and fitted into the pay scales of the Indian Oil Corporation, hereinafter referred to as 'IOC ', a public sector Company."
train_00006,20,0.21,arguments_appellant,"E 7, E 8 A 750 40 1150 50 1550 E 6 B 1050 50 1450 60 1750 367 E 5, E 5A C 1450 60 1690 65 1950 E 4 D 1600 65 2120 E 3 E 1850 100 2350 E 2 F 2000 100 2500 O & E 1 & Unclassified G 2250 100 2750 General Manager H 2500 100 3000 From : LIL To : HPCL HPCL Salary Group Salary Group Salary Scale L 7 A 750 40 1150 50 1550 L 6 B 1050 50 1450 60 1750 L 5 C 1450 60 1690 65 1950 L 4 D 1600 65 2120 L 3 E 1850 "
train_00006,26,0.27,arguments_appellant,"It is the case of the petitioners that the officers of CORIL have been fitted by HPCL consist ently in one or two Grades lower in HPCL vis a vis their counterparts in ESSO/LIL, performing similar duties and having similar responsibilities and status."
train_00006,29,0.3,arguments_appellant,"In support of the contention that HPCL has not made any equation of posts before fitment in HPCL/IOC scales of pay, Mr. Sachar, learned Counsel appearing on behalf of the petitioners, has placed much reliance on the Tandon Commit tee 's Report."
train_00006,35,0.36,arguments_appellant,"It is thus complained that the scheme, which has been prepared by HPCL, is arbitrary and is not based on a proper equation of posts."
train_00006,45,0.46,facts,Two other appeals being Civil Appeal No. 3212 of 1979 and Civil Appeal No. 35 186 of 1979 were also filed by the officers of CORIL and Bharat Petroleum Corporation Ltd. respectively.
train_00006,46,0.47,facts,"The said order is as follows: ""The petitioner Corporation will be at liberty to frame a 370 scheme, if it wishes to do so, in accordance with the judg ment of the High Court under appeal."
train_00006,47,0.48,arguments_appellant,"If the scheme is framed, it will not be implemented for a period of three weeks from the date of its framing and the respondents will be at liberty within the period of 3 weeks to apply to this Court for stay."
train_00006,48,0.49,arguments_appellant,This order will be without prejudice to the rights and contentions of the petitioner Corporation in the appeal.
train_00006,58,0.6,reasoning,"371 We have considered the explanation of the petitioner justifying the acceptance of the said offer letter dated July 7, 1988 and the rationalisation scheme sent therewith and also the contention of HPCL in that regard."
train_00006,81,0.84,facts,"While it is not within the domain of the Court to make the equation of posts for the purpose of integration, it is surely the concern of the Court to see that before the integration is made and consequent fitment of officers in different grades/scales of pay is effected, there must be an equation of different posts in accordance with the principle stated above."
train_00007,18,0.1,facts,the decree holders as such prayed for the sale of the house property in dispute.
train_00007,41,0.24,facts,"The sale certificate was then actually issued in favour of Mahila Vidyalaya on 8th April, 1944."
train_00007,43,0.25,facts,"It may be noted that initially this suit was filed against Gopal Rao Mutatkar for Mahila Vidyalaya, Sagar as defendant No. 1(a), Shri G.R. Wakhle, Secretary, Mahila Vidyalaya as defendant No. 1(b), Lakshmi Chand and Duli Chand as defendant Nos. 2 and 3 and Govind Rao Harshe (father of the 912 plaintiffs) as defendant No. 4."
train_00007,62,0.36,facts,Radha Bai vacated the premises and handed over possession to Mahila Vidyalaya.
train_00007,68,0.4,facts,Radha Bai was impleaded as respondent No. 2.
train_00007,97,0.56,facts,"Gopal Rao Mutatkar took part in the auction bid and it was knocked down in his favour on 20th August, 1942."
train_00007,118,0.69,facts,"Against this decision, Govind Rao Harshe alone preferred a second appeal in the High Court and the same was dismissed by order dated 29th April, 1960."
train_00007,136,0.79,reasoning,It was thus held that the Act of the executing court was clearly without jurisdiction and the sale certificate being void and inoperative conferred no right or title on the appellant Mahila Vidyalaya over the suit property.
train_00007,155,0.9,reasoning,"With the risk of repetition it is held that it was not a case of the sale being void and in any case so far as issue of sale certificate in favour of Mahila Vidyalaya is concerned, the same was determined by a judicial order dated 26th February, 1944 and the executing court was competent to pass such order cannot be held to be void on the ground of being without jurisdiction as determined by the H"
train_00007,162,0.94,reasoning,"919 The apart, after the issue of sale certificate in favour of Mahila Vidyalaya it alone was entitled to obtain possession under Order XXI 95 C.P.C."
train_00007,165,0.96,reasoning,Radha Bai surrendered possession in favour of Mahila Vidyalaya.
train_00007,171,0.99,reasoning,"The plaintiff Govind Rao Harhse himself had come forward with a plea that the execution proceedings and sale was null and void and unless he was able to succeed in this regard, which he did not in the present case, no decree for possession could at all have been passed in his favour."
train_00008,1,0.04,facts,"This is an application for review of the judgment delivered by this Court, to which three of us were party, on October 29, 1959."
train_00008,7,0.25,reasoning,The appeal in which the judgment under review was given came up before the Court on special leave granted under article 136 of the Constitution from a decision of the Bombay High Court in a writ petition filed there under article 226 against an order of the Payment of Wages Authority.
train_00008,8,0.29,issues,The question of jurisdiction of the Payment of Wages Authority was raised before this Court and reliance in that connection was placed on the decision in A. V. D 'Costa vs B. C. Patel and another(1).
train_00008,10,0.36,reasoning,"In that connection reference was made to the case of A. M. Allison vs B. L. Sen (2), in which in similar circumstances this Court had refused to decide the question of jurisdiction, because it was satisfied that there had been no failure of justice."
train_00008,12,0.43,reasoning,"Reference to Allisons ' Case (2) was made only to show that in almost similar circumstances (except that Allison 's Case came to this Court on a certificate granted under article 133(1) (c) of the Constitution), this Court had refused to decide the question of jurisdiction as there was no failure of justice."
train_00008,17,0.61,issues,"Are there then such mistakes and/ or errors apparent on the face of record which would justify a review? It is said that in dealing with whether there has been failure of justice in this case, this Court omitted to consider certain provisions of the Bombay Industrial Relations Act, 1946."
train_00008,20,0.71,reasoning,"In the circumstances we are of opinion that there is no ground for review of the judgment even if it be assumed that certain provisions of the Bombay Industrial Relations Act, 1946, were relevant and had not been considered."
train_00008,21,0.75,arguments_appellant,The main plank however of the petitioner is that this Court was bound to consider the question of jurisdiction and the question whether there was failure of justice or not was bound up with the question of jurisdiction and a decision on that question was necessary to arrive at the conclusion that there was no 117 failure of justice.
train_00008,22,0.79,reasoning,"This contention also must in our opinion be rejected, specially in the context of the narrow point which, as we have already indicated, was decided in the judgment under review."
train_00008,23,0.82,reasoning,Besides it is not unknown to law that decisions of original courts and tribunals may be allowed to stand even though there may be some doubt as to the jurisdiction of such courts or tribunals.
train_00008,24,0.86,reasoning,"There are provisions in the revenue laws where in case of doubt whether the civil court or the revenue court has jurisdiction the decision of the original court is allowed to stand in certain circumstances if there has been no failure of justice : (see, for example, sections 290 and 291 of the U. P. Tenancy Act, 1939)."
train_00008,26,0.93,reasoning,"It is necessary to remember that wide as are our powers under article 136, their exercise is discretionary; and if it is conceded, as it was in the course of the arguments, that this Court could have dismissed the appellant 's application for special leave summarily on the ground that the order under appeal had done substantial justice, it is difficult to appreciate the argument that because leave"
train_00009,8,0.07,facts,"; the total compensation awarded was Rs. 3,31,455."
train_00009,27,0.22,facts,The Act has been made applicable to the State of Gujarat.
train_00009,34,0.28,facts,Chapter III of the Act provides for the making of town planning schemes.
train_00009,40,0.33,facts,"Section 23 (1) provides that following the declaration of intention to make a scheme, the local authority shall make a draft scheme for the area 87 in respect of which the declaration has been made and publish it in the prescribed manner."
train_00009,50,0.41,facts,The duties of the Town Planning Officer are enumerated in section 32 (1).
train_00009,63,0.52,facts,"Under sub section (2) of section 66 the ""owner of each plot included in the final scheme shall be primarily liable for the payment of the contribution leviable in respect of such plot""."
train_00009,72,0.59,facts,Section 87 in Chapter IX empowers the State Government to make rules consistent with the provisions of the Act to provide for all matters not specifically indicated therein.
train_00009,83,0.68,reasoning,Specification of principles means laying down general guiding rules applicable to all persons or transactions governed thereby.
train_00009,91,0.75,reasoning,"Section 33 says: ""Except in matters arising out of clauses (v), (vi), (vii), (ix), (x) and (xiii) of sub section (1) of section 32, every decision of the Town Planning Officer shall be final and conclusive and binding on all persons."" Section 34 provides an appeal to a Board of Appeal from any decision of the Town Planning Officer under clauses (v), (vi) (viii), (ix), (x) and (xiii)."
train_00009,112,0.92,reasoning,The sense in which the expression 'injurious affection ' is used in section 23 (1) of the Land Acquisition Act is the generally accepted meaning of that expression and we find nothing in the Act concerned in this case that suggests that it should be construed differently.
train_00009,116,0.95,reasoning,In the appellant 's case it would be the value of the original plot and not the final plot.
train_00009,120,0.98,reasoning,"In the view we take, Mr. Nariman should be allowed to urge the grounds concerning the constitutional validity of the Act."
train_00010,70,0.27,arguments_appellant,"He, however, criticised the conduct of Sub Inspector Bishamber Lal in not sending the empty cartridges found at the spot to the ballistic expert of the Forensic Laboratory, Chandigarh, with due promptitude."
train_00010,71,0.28,facts,"In the result, the trial Judge held that Wasson Singh, Joginder Singh and Mukhtar Singh accused had fired their rifles at Hazara Singh deceased, and had caused his death."
train_00010,73,0.28,facts,He further held that the common object of the unlawful assembly constituted by the six accused was to murder Hazara Singh deceased.
train_00010,112,0.44,arguments_appellant,Counsel have criticised the failure of the High Court to discuss the value and effect of the F.I.R. lodged by P.W. 2.
train_00010,126,0.49,facts,It is common ground that there was no love lost between Wassan Singh appellant and Hazara Singh deceased.
train_00010,134,0.52,reasoning,"It was therefore, not improbable that this trio consisting of Hazara Singh deceased, P.W. 2 and P.W. 3 was, as usual, moving about or carrying on their activities together."
train_00010,135,0.53,reasoning,"Moreover, the deceased Hazara Singh must have known that Wasson Singh accused who was inimically disposed towards him, was at large on bail."
train_00010,185,0.72,facts,"The story narrated by the eye witnesses, Resham Singh and Bachan Singh is that Wasson Singh, Mukhtar Singh and Joginder Singh first fired a volley of rifle shots at Hazara Singh deceased as a result of which he dropped dead at the spot."
train_00010,204,0.79,facts,The Sub Inspector prepared the sketch of the rifle and the memo (exhibit PM) which was attested by the aforesaid Constables.
train_00010,219,0.85,reasoning,The evidence of P.W. 13 regarding the discovery of the rifle (exhibit P7) from Mukhtar Singh accused was fully corroborated by Constable Sardul Singh (P.W. 12).
train_00010,234,0.91,reasoning,There was substance in the observation of the trial Judge that the investigation was biased in favour of the accused.
train_00010,252,0.98,facts,"In such a situation, when they were being pursued by persons armed with fire arms, they could, if at all they turned and looked behind have only a fleeting glimpse in the distance of the assailants of Resham Singh deceased."
train_00011,1,0.01,facts,"The petitioner, Puran Lal Lakhanpal, was arrested and detained under cl. (b) of sub r."
train_00011,6,0.08,facts,""" He has moved this Court under article 32 of the Constitution by a petition presented on December 24, 1965 for a writ of habeas corpus directing his release."
train_00011,8,0.11,arguments_appellant,The first ground is that r. 30(1)(b) is ultra vires section 3(2)(15)(1) of the Defence of India Act under which the Rules were made.
train_00011,11,0.15,reasoning,""" It will be noticed that the rule does not say that the satisfaction mentioned in it shall be on grounds appearing to the authority concerned to be reasonable."
train_00011,14,0.19,reasoning,This part of the section is independent of the earlier part under which the apprehension and detention can be directed only when the authority suspects on certain grounds appearing to it to be reasonable that a person is about to act in a certain manner.
train_00011,19,0.25,reasoning,The rule requires only that the detaining authority must be satisfied that the detention is necessary for the purposes mentioned and that is what the latter part of the section under which it was made also says.
train_00011,20,0.27,reasoning,The rule has clearly been made in terms of the section authorising it.
train_00011,32,0.43,reasoning,"Even if they did, the requirement of the statement of the President 's satisfaction in the present case has to be decided on the terms of article 352 alone."
train_00011,48,0.64,reasoning,Nothing contained in an address by the President to the Houses of Parliament can operate to terminate the Proclamation.
train_00011,49,0.65,arguments_appellant,"In this connection it was also said that 'external aggression ' means armed aggression and as for some time past there was no armed, aggression against the territory of India, the continuance of the Proclamation was unjustified."
train_00011,54,0.72,reasoning,Their effect is to provide a review of the detention order by the authorities and in the manner mentioned.
train_00011,59,0.79,facts,"There is nothing to show that the detention order had been based on petitioner 's writings, nor has our attention been drawn to any provision which requires the detaining authority to supply the materials on which they had formed their satisfaction about the necessity of the detention."
train_00012,14,0.13,facts,There are 15 entries in Schedule I and they read as follows: SCHEDULE I (See Section 2(c)) 1. Ferrous metallurgical industry. 527 2. Non ferrous metallurgical industry. Mining industry. Ore processing industry. Petroleum industry. Petro chemical industry. Chemical industry. Ceramic industry. Cement industry. Textile industry. Paper industry. Fertilizer industry. Coal (including coke) industry.
train_00012,20,0.19,facts,"A writ petition which was filed in the High Court of Karnataka, Bangalore, by one of the sugar mills in Karnataka raising similar question has been withdrawn to this Court in transfer peti tion No. 276 of 1984 to be dealt with along with other appeals raising identical question."
train_00012,34,0.32,facts,"Vegetables and fruits are some times loosely distinguished by the used need of cooking the former or the use of man, while the latter may be eaten raw; but the distinc tion often fails, as in the case of quinces, barberries, and other fruits, and lettuce, celery, and other vegetable."
train_00012,37,0.35,facts,"More common ly and specifically, in common language, the word is used 529 as a noun in referring to those generally herbaceous plants or any parts of such plants as are eaten by man."
train_00012,43,0.4,reasoning,Every industry carries out multifarious activities to reach its goal through various multifarious methods.
train_00012,55,0.51,reasoning,"See the obser vations in IRC vs Duke of Westminster, ([1963] AC 1, 24) and of this Court in A.V. Fernandez vs State of Kerala ; Justice Krishna Iyer of this Court in Martand Dairy & Fawn vs Union of India ; has observed that taxing consideration may stem from adminis trative experience and other factors of life and not artistic visualisation or neat logic and so the literal, though pedestrain, int"
train_00012,68,0.64,reasoning,"In CST v.A.R.Alladin, AIR 1964 Guj. 27 the expression ""who processes any goods"" in the Bombay Sales Tax was held to refer to the subjecting of any goods to a treatment or process. In Addl."
train_00012,82,0.77,reasoning,In another words the word 'vegetable ' has been used in contra distinction to the word 'animal '.
train_00012,87,0.81,reasoning,Unless we give the botanical meaning to the word 'vegetable ' it is not possible to conclude sugar cane as vegetable.
train_00012,92,0.86,reasoning,"Construction of words and the meaning to be given for such words shall normally depend on the nature, scope and purpose of the statute in which it is occurring and to the fitness of the matter to the statute."
train_00012,96,0.9,reasoning,Sugar cane is not a vegetable though it may be an agricultural product.
train_00012,98,0.92,reasoning,The word vegetable in the context does not attract the botanic meaning.
train_00013,0,0,facts,"The Judgment of the Court was delivered by KAILASAM, J."
train_00013,6,0.11,facts,An option was given to the respondent to continue in the Government service or to opt to the Board.
train_00013,11,0.21,facts,"On 30th December, 1966, some persons junior to the respondent were promoted on their having passed the S.A.S. examination while promotion was denied to the respondent as he had not passed the examination."
train_00013,16,0.3,arguments_appellant,"On behalf of the appellant, Karnataka Electricity Board, it was contended before the court that the writ petition ought to be dis missed on the ground of inordinate delay and laches on the part of the respondent and also on the ground that in view of the later Resolution of the Board dated 5th January, 1970, it was no longer open to the respondent to rely on the Resolution dated 19th May, 1969."
train_00013,19,0.36,reasoning,We do not see any ground for not accepting the view of the High Court that in the circumstances of the case the relief to the respondent should not be denied on the ground of delay and laches.
train_00013,29,0.55,facts,""" The Resolution requires the passing of the examination and Kannada language test for the purpose of earning incre ments and for promotion for candidates appointed after/st November, 1956."
train_00013,32,0.6,reasoning,It is not possible to infer from the Resolution that the 511 allottees are exempted from passing the Departmental Exami nation and the Kannada language test.
train_00013,40,0.75,reasoning,These G.O.s do not apply in the present case as the Regulations framed by the Board under section 79(c) specifi cally prescribe the passing of the S.A.S. test.
train_00013,44,0.83,facts,Apart from this circumstance by a subsequent Resolution the Board itself considered the ques tion in all its aspects and resolved that passing of the S.A.S. examination for promotion to the cadre of Accounts Superintendents as before be insisted.
train_00013,46,0.87,reasoning,The High Court found that the later Resolution did not affect the earlier Resolu tion on the ground that the subsequent Resolution did not make any reference to the earlier Resolution and that there is no reference to the allottees at all.
train_00013,48,0.91,reasoning,"The Resolution dated 5th January, 1970, cannot be understood as altering the position existing ""as before""."
train_00013,51,0.96,reasoning,The conclusion of the High Court cannot be upheld as the binding nature of the Regulations passed by the Board under section 79(c) has not been taken due note of.
train_00014,0,0,facts,Civil Appeal No. 705 of 1962.
train_00014,19,0.17,facts,"On October, 3 1960, when he resumed duty, he again requested the management that he should be permitted to work on the plain machine, but when his request was turned down, he told the management that he would work on the twill machine in the second shift which starts from I P.M."
train_00014,20,0.18,facts,"On that day, another employee Mahboob who was ailing and had been on leave, asked for further leave which was refused and he fell unconscious while he was going to operate his machine."
train_00014,25,0.22,facts,"The management alleged that by his conduct, jadav had committed misconduct under Rule 14(c) (i) and (viii) of the Standing Orders."
train_00014,47,0.42,reasoning,There is no doubt that this Court has consistently refrained from interfering with the conclusions reached.
train_00014,64,0.57,reasoning,"Take the present case where, after the enquiry was held, the Manager who held the enquiry has not recorded any findings, and so, we do not know what reasons weighed in his mind and how he appreciated the evidence led before him."
train_00014,67,0.6,reasoning,"enable the enquiry officer to decide upon the merits of the dispute before him, and so, it would be idle to contend that once evidence is recorded, all that the employer is expected to do is to pass an order of dismissal which impliedly indicates that the employer accepted the view that the charges framed against the employee had been proved."
train_00014,69,0.62,reasoning,"Now, such an enquiry would be impossible in the present case because we do not know how the enquiry officer approached the question and what conclusions he C. R. 266."
train_00014,76,0.68,reasoning,"Unless such a course is adopted, it would be difficult for the Industrial Tribunal to decide whether the approach adopted by the enquiry officer was basically erroneous or whether his conclusions were perverse."
train_00014,77,0.69,reasoning,"Indeed, if the argument urged before us by the learned Solicitor General is accepted, it is likely to impair substantially the value of such domestic enquiries."
train_00014,97,0.87,facts,"This statement would show that leave had been granted to Mahboob in the morning of October 3, but as 'we have already seen, the Labour Officer himself told the members of the Works Committee at 3 P.M. on the same day that leave had not been granted to Mahboob because he had produced 518 a certificate of fitness dated September 22, and the Works Committee had resolved that Mahboob 's case should be"
